จังหวัด,เนื้อที่เพาะปลูก(ไร่),เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิต(ตัน),ผลผลิต/เนื้อที่เก็บเกี่ยว (ก.ก.),year
กาฬสินธุ์,"1,506,892","1,481,973","553,665",373.6,2020
ขอนแก่น,"2,385,713","2,048,113","691,634",337.69,2020
ชัยภูมิ,"1,814,558","1,718,665","646,020",375.88,2020
นครพนม,"1,474,372","1,440,193","503,819",349.83,2020
นครราชสีมา,"3,600,876","3,430,643","1,234,920",359.97,2020
บึงกาฬ,"491,071","473,318","151,079",319.19,2020
บุรีรัมย์,"2,985,349","2,772,113","966,603",348.69,2020
มหาสารคาม,"2,115,175","2,021,963","737,839",364.91,2020
มุกดาหาร,"464,424","458,511","185,181",403.87,2020
ยโสธร,"1,352,845","1,300,388","480,775",369.72,2020
ร้อยเอ็ด,"3,095,784","2,801,665","982,054",350.53,2020
ศรีสะเกษ,"3,010,361","2,954,563","1,035,989",350.64,2020
สกลนคร,"2,236,939","2,210,028","756,201",342.17,2020
สุรินทร์,"3,098,497","2,965,707","1,107,820",373.54,2020
หนองคาย,"597,618","594,468","217,129",365.25,2020
หนองบัวลำภู,"721,169","711,508","247,500",347.85,2020
อำนาจเจริญ,"1,062,141","1,045,154","371,309",355.27,2020
อุดรธานี,"2,063,727","2,017,790","735,611",364.56,2020
อุบลราชธานี,"4,070,805","4,022,590","1,428,830",355.2,2020
เลย,"445,531","439,606","156,356",355.67,2020
