จังหวัด,เนื้อที่เพาะปลูก(ไร่),เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิต(ตัน),ผลผลิต/,year
กาฬสินธุ์,"1,485,635","1,378,278","513,207",372.35,2019
ขอนแก่น,"2,348,246","1,634,793","517,871",316.78,2019
ชัยภูมิ,"1,738,598","960,665","335,915",349.67,2019
นครพนม,"1,453,597","1,441,663","504,766",350.13,2019
นครราชสีมา,"3,558,809","2,057,120","748,184",363.7,2019
บึงกาฬ,"488,144","454,161","141,353",311.24,2019
บุรีรัมย์,"2,884,034","2,293,871","795,719",346.89,2019
มหาสารคาม,"2,106,457","1,938,581","697,799",359.95,2019
มุกดาหาร,"475,555","463,618","185,931",401.04,2019
ยโสธร,"1,338,008","1,071,448","385,878",360.15,2019
ร้อยเอ็ด,"3,085,728","2,458,025","846,372",344.33,2019
ศรีสะเกษ,"3,002,790","2,904,394","1,006,455",346.53,2019
สกลนคร,"2,160,571","2,059,417","686,235",333.22,2019
สุรินทร์,"3,076,991","2,880,510","1,076,468",373.71,2019
หนองคาย,"565,535","528,358","185,231",350.58,2019
หนองบัวลำภู,"678,756","636,631","212,379",333.6,2019
อำนาจเจริญ,"1,051,308","967,422","336,807",348.15,2019
อุดรธานี,"1,932,381","1,869,622","667,337",356.94,2019
อุบลราชธานี,"3,940,858","3,621,494","1,302,467",359.65,2019
เลย,"427,153","402,680","135,705",337,2019
