จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.),year
กาฬสินธุ์,"1,442,455","1,257,993","463,041",368.08,2022
ขอนแก่น,"2,338,159","2,086,468","715,356",342.86,2022
ชัยภูมิ,"1,541,640","1,426,790","529,705",371.26,2022
นครพนม,"1,342,161","1,193,357","441,649",370.09,2022
นครราชสีมา,"3,479,166","3,293,027","1,191,036",361.68,2022
บึงกาฬ,"480,528","466,743","147,958",317,2022
บุรีรัมย์,"2,742,248","2,557,463","960,005",375.37,2022
มหาสารคาม,"2,057,752","1,795,034","639,325",356.16,2022
มุกดาหาร,"492,127","458,062","174,579",381.13,2022
ยโสธร,"1,325,697","1,162,554","413,420",355.61,2022
ร้อยเอ็ด,"3,075,165","2,559,916","972,215",379.78,2022
ศรีสะเกษ,"3,000,750","2,781,252","1,016,850",365.61,2022
สกลนคร,"2,120,975","1,727,322","603,511",349.39,2022
สุรินทร์,"3,009,967","2,907,781","1,100,917",378.61,2022
หนองคาย,"522,224","507,668","190,222",374.7,2022
หนองบัวลำภู,"647,685","627,990","217,146",345.78,2022
อำนาจเจริญ,"971,087","923,609","324,963",351.84,2022
อุดรธานี,"1,734,452","1,600,668","615,656",384.62,2022
อุบลราชธานี,"3,898,428","3,756,344","1,313,057",349.56,2022
เลย,"413,850","402,769","158,714",394.06,2022
