???????,????????????????,??????????????????,??????,??????/
,(???),(???),(???),?????????????????? (?.?.)
?????????,"1,510,293","1,464,902","549,215",374.92
???????,"2,399,044","2,093,264","709,266",338.83
???????,"1,835,990","1,535,979","586,449",381.81
??????,"1,479,789","1,473,189","524,374",355.94
??????????,"3,587,839","3,168,807","1,170,848",369.49
??????,"488,370","485,152","156,476",322.53
?????????,"2,997,490","2,922,591","1,067,377",365.22
?????????,"2,126,180","1,988,590","723,924",364.04
????????,"462,639","457,517","185,140",404.66
?????,"1,367,528","1,294,484","482,904",373.05
????????,"3,099,731","2,948,708","1,032,874",350.28
????????,"3,020,397","2,913,568","1,027,039",352.5
??????,"2,186,246","2,171,538","755,038",347.7
????????,"3,119,992","3,037,186","1,149,188",378.37
???????,"605,715","602,435","222,565",369.44
???????????,"730,844","723,833","261,424",361.17
??????????,"1,074,427","1,067,209","383,946",359.77
????????,"2,068,940","2,036,022","749,650",368.19
???????????,"4,086,172","4,026,767","1,436,095",356.64
???,"436,459","431,224","155,507",360.62
